LSUSUARIO LIMITADO RECONECTADO-SIN MEDIDOR (Retirado)         11111CONNNNIRNNNNFTNNNNETNNNN
LTSIN MEDIDOR (Limitado) DESHABITADO-SOLAR BALDIO             11111CONNNNIRNNNNFTNNNNETNNNN
DNFUGA DESPUES DEL MEDIDOR-NO PERMITIERON ACCESO              11111CONNNNIRNNNNFTNNNNETNNNN
DOFUGA DESPUES DEL MEDIDOR-OBSTACULO                          11111CONNNNIRNNNNFTNNNNETNNNN
DRFUGA DESPUES DEL MEDIDOR-SIN MEDIDOR (Retirado)             11111CONNNNIRNNNNFTNNNNETNNNN
DSFUGA DESPUES DEL MEDIDOR-SIN MEDIDOR (No Instalado)         11111CONNNNIRNNNNFTNNNNETNNNN
DVTIPO DE USO DIFERENTE-VIDRIO DIFICULTA LECTURA              11111CONNNNIRNNNNFTNNNNETNNNN
MCMEDIDOR CAMBIADO                                            11111CONNNNIRNNNNFTNNNNETNNNN
MEMEDIDOR EMPOTRADO                                           11111CONNNNIRNNNNFTNNNNETNNNN
MHMEDIDOR INVERTIDO CON SELLOS - DESHABITADO - BALDIO         11111CONNNNIRNNNNFTNNNNETNNNN
MIMEDIDOR INCLINADO                                           11111CONNNNIRNNNNFTNNNNETNNNN
EDEDAD                                                        11111CONNNNIRNNNNFTNNNNETNNNN
MLMEDIDOR INVERTIDO CON SELLOS                                11111CONNNNIRNNNNFTNNNNETNNNN
MMMEDIDOR MANIPULADO                                          11111CONNNNIRNNNNFTNNNNETNNNN
MPMEDIDO CON PROTECCIÓN                                       11111CONNNNIRNNNNFTNNNNETNNNN
MTMEDIDOR DESTRUIDO DESHABITADO-SOLAR BALDIO                  11111CONNNNIRNNNNFTNNNNETNNNN
MUMEDIDOR DENTRO DE VIDA ÚTIL                                 11111CONNNNIRNNNNFTNNNNETNNNN
VDVIDRIO DIFICULTAD LECTURA                                   11111CONNNNIRNNNNFTNNNNETNNNN
VFFUGA ANTES DEL MEDIDOR-VIDRIO DIFICULTA LECTURA             11111CONNNNIRNNNNFTNNNNETNNNN
VHVIDRIO ROTO - DESHABITADO - BALDIO                          11111CONNNNIRNNNNFTNNNNETNNNN
NANO PERMITIERON ACCESO DESHABITADO-SOLAR BALDIO              11111CONNNNIRNNNNFTNNNNETNNNN
VIVIDRIO IMPIDE LECTURA DESHABITADO-SOLAR BALDIO              11111CONNNNIRNNNNFTNNNNETNNNN
NCNO COMPROBABLE                                              11111CONNNNIRNNNNFTNNNNETNNNN
FAFUGA ANTES DEL MEDIDOR                                      11111CONNNNIRNNNNFTNNNNETNNNN
NISIN MEDIDOR (No Instalado) DESHABITADO-SOLAR BALDIO         11111CONNNNIRNNNNFTNNNNETNNNN
VRVIDRIO ROTO                                                 11111CONNNNIRNNNNFTNNNNETNNNN
FCFUGA DESPUES DEL MEDIDOR-MEDIDOR CAMBIADO                   11111CONNNNIRNNNNFTNNNNETNNNN
VSTIPO DE USO DIFERENTE-SELLOS VIOLADOS                       11111CONNNNIRNNNNFTNNNNETNNNN
VTTIPO DE USO DIFERENTE-VIDRIO ROTO                           11111CONNNNIRNNNNFTNNNNETNNNN
NONO LOCALIZADO                                               11111CONNNNIRNNNNFTNNNNETNNNN
FHMEDIDOR INVERTIDO SIN SELLOS - DESHABITADO - BALDIO         11111CONNNNIRNNNNFTNNNNETNNNN
FIFUGA DESPUES DEL MEDIDOR-MEDIDOR INCLINADO                  11111CONNNNIRNNNNFTNNNNETNNNN
FLFUGA DESPUES DEL MEDIDOR-SELLOS VIOLADOS                    11111CONNNNIRNNNNFTNNNNETNNNN
NUNO PERMITE EL USUARIO                                       11111CONNNNIRNNNNFTNNNNETNNNN
FNFUERA DE NORMA                                              11111CONNNNIRNNNNFTNNNNETNNNN
FRFUGA DESPUES DEL MEDIDOR-VIDRIO ROTO                        11111CONNNNIRNNNNFTNNNNETNNNN
FUFUGA DESPUES DEL MEDIDOR                                    11111CONNNNIRNNNNFTNNNNETNNNN
FVFUGA DESPUES DEL MEDIDOR-VIDRIO DIFICULTA LECTURA           11111CONNNNIRNNNNFTNNNNETNNNN
OBOBSTACULOS DESHABITADO-SOLAR BALDIO                         11111CONNNNIRNNNNFTNNNNETNNNN
OEOBSTÁCULOS PARA EJECUCION                                   11111CONNNNIRNNNNFTNNNNETNNNN
OSOBSTACULO                                                   11111CONNNNIRNNNNFTNNNNETNNNN
OTOTROS                                                       11111CONNNNIRNNNNFTNNNNETNNNN
PAMEDIDOR PARADO                                              11111CONNNNIRNNNNFTNNNNETNNNN
PCPREDIO CERRADO DESHABITADO-SOLAR BALDIO                     11111CONNNNIRNNNNFTNNNNETNNNN
PHMEDIDOR PARADO (Man des) DESHABITADO - BALDIO               11111CONNNNIRNNNNFTNNNNETNNNN
HBOBSTACULOS HABITADO-EN CONSTRUCCION                         11111CONNNNIRNNNNFTNNNNETNNNN
HCPREDIO CERRADO HABITADO-EN CONSTRUCCION                     11111CONNNNIRNNNNFTNNNNETNNNN
HDMEDIDOR DESTRUIDO HABITADO-EN CONSTRUCCION                  11111CONNNNIRNNNNFTNNNNETNNNN
